branch_code,branch_name,region
B-089,JNE Cabang Utama 89,Kalimantan
B-090,JNE Cabang Utama 90,Jawa Barat
B-091,JNE Cabang Utama 91,Sumatera
B-092,JNE Cabang Utama 92,Sulawesi
B-093,JNE Cabang Utama 93,Bali-Nusra
B-094,JNE Cabang Utama 94,Kalimantan
B-095,JNE Cabang Utama 95,Sumatera
B-096,JNE Cabang Utama 96,Jawa Barat
B-097,JNE Cabang Utama 97,Jawa Barat
B-098,JNE Cabang Utama 98,Jawa Tengah
B-099,JNE Cabang Utama 99,Sumatera
B-100,JNE Cabang Utama 100,Jawa Barat
B-101,JNE Cabang Utama 101,Sumatera
B-102,JNE Cabang Utama 102,Sulawesi
B-103,JNE Cabang Utama 103,Bali-Nusra
B-104,JNE Cabang Utama 104,Jabodetabek
B-105,JNE Cabang Utama 105,Sulawesi
B-106,JNE Cabang Utama 106,Bali-Nusra
B-107,JNE Cabang Utama 107,Jabodetabek
B-108,JNE Cabang Utama 108,Bali-Nusra
B-109,JNE Cabang Utama 109,Sulawesi
B-110,JNE Cabang Utama 110,Sulawesi
B-111,JNE Cabang Utama 111,Sulawesi
B-112,JNE Cabang Utama 112,Jawa Tengah
B-113,JNE Cabang Utama 113,Jawa Tengah
B-114,JNE Cabang Utama 114,Jabodetabek
B-115,JNE Cabang Utama 115,Jawa Barat
B-116,JNE Cabang Utama 116,Sumatera
B-117,JNE Cabang Utama 117,Sulawesi
B-118,JNE Cabang Utama 118,Bali-Nusra
B-119,JNE Cabang Utama 119,Kalimantan
B-120,JNE Cabang Utama 120,Bali-Nusra
B-121,JNE Cabang Utama 121,Kalimantan
B-122,JNE Cabang Utama 122,Jawa Barat
B-123,JNE Cabang Utama 123,Bali-Nusra
B-124,JNE Cabang Utama 124,Jawa Barat
B-125,JNE Cabang Utama 125,Sumatera
B-126,JNE Cabang Utama 126,Sulawesi
B-127,JNE Cabang Utama 127,Sulawesi
B-128,JNE Cabang Utama 128,Jawa Timur
B-129,JNE Cabang Utama 129,Sumatera
B-130,JNE Cabang Utama 130,Kalimantan
B-131,JNE Cabang Utama 131,Jawa Barat
B-132,JNE Cabang Utama 132,Jabodetabek
B-133,JNE Cabang Utama 133,Jawa Timur
B-134,JNE Cabang Utama 134,Jawa Barat
B-135,JNE Cabang Utama 135,Jawa Barat
B-136,JNE Cabang Utama 136,Sulawesi
B-137,JNE Cabang Utama 137,Jabodetabek
B-138,JNE Cabang Utama 138,Bali-Nusra
B-139,JNE Cabang Utama 139,Jawa Timur
B-140,JNE Cabang Utama 140,Jawa Tengah
B-141,JNE Cabang Utama 141,Kalimantan
B-142,JNE Cabang Utama 142,Jawa Tengah
B-143,JNE Cabang Utama 143,Bali-Nusra
B-144,JNE Cabang Utama 144,Jawa Tengah
B-145,JNE Cabang Utama 145,Jawa Timur
B-146,JNE Cabang Utama 146,Jabodetabek
B-147,JNE Cabang Utama 147,Bali-Nusra
B-148,JNE Cabang Utama 148,Sumatera
B-149,JNE Cabang Utama 149,Bali-Nusra
B-150,JNE Cabang Utama 150,Jawa Barat
